url,description
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
                    2205 Michigan Union"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
530 S. State Street"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Ann Arbor MI 48109-1308"
https://campusinvolvement.umich.edu/late-night-programs?page=4, 
https://campusinvolvement.umich.edu/late-night-programs?page=4, 
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=4, | 
https://campusinvolvement.umich.edu/late-night-programs?page=3, 
https://campusinvolvement.umich.edu/late-night-programs?page=3, 
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3, | 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Office Hours: Monday-Friday, 8am-5pm"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
2202 Pierpont Commons"
https://campusinvolvement.umich.edu/late-night-programs?page=4, | 
https://campusinvolvement.umich.edu/late-night-programs?page=4,"
				© 2016 The Regents of the University of Michigan "
https://campusinvolvement.umich.edu/late-night-programs?page=3, | 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
2101 Bonisteel Blvd."
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Ann Arbor, MI  48109"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Office Hours: Monday-Friday, 11am-2pm"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
				© 2016 The Regents of the University of Michigan "
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
 "
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2, | 
https://campusinvolvement.umich.edu/late-night-programs?page=2, | 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
				© 2016 The Regents of the University of Michigan "
url,description
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join our ""Stress Relief & Wellness Series"" on Tuesday, March 15th from 7-9 PM in Michigan Union Pond Room. Students will relax & relieve stress with free massages provided by RUB Ann Arbor. There will also be free food!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us for Orglead: Leadership Transition on Thursday, March 24 from 6:00-7:30PM. This event will provide information about how to effectively transition leadership roles for the upcoming year. Attend the workshop if your group to learn how to improve this process & to strengthen the future of your student organization!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us for Cooking 101: Smoothies on Wednesday, February 24th, from 7-8:30 PM in the Michigan Union, Pendleton Room. Learn how to make easy - & healthy - smoothies on the go! Chef Eric will demonstrate three different smoothies & samples will be passed out for each one. Following the demos, prizes will be raffled off."
https://campusinvolvement.umich.edu/late-night-programs?page=3,Connect with students and faculty about the new Arab and Muslim American Studies minor and learn about valuable internship opportunities. Pizza and refreshments will be provided. All students are welcome!
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us Monday, February 22nd, from 3-5PM for an awards reception to honor the winners of the Juried Art Competition. Light refreshments will be served in the Hussey Room on the 2nd Floor of the Michigan League. It is a great opportunity to view art & meet the artists behind the work!"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"Date: Monday, March 14"
https://campusinvolvement.umich.edu/late-night-programs?page=3,Time: 6-8pm
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us at UMix Game Night where we will feature almost every type of popular game! There will be: Minute To Win It games, Wolverine Feud, video games, board games, & a reality game show Pop Culture Clash. There are great prizes to be won & the craft for the night will be everyone's favorite childhood craft - Perler Beads. We will screen ""Spectre"" at 10:30PM and we'll have our legendary Nacho Bar for the midnight buffet."
https://campusinvolvement.umich.edu/late-night-programs?page=3,Location: The Michigan Room in the Michigan League
